Date,ETF Ticker,Ticker,CUSIP,Name,Share Quantity,Price,Market Value,Weight,NetAssets,SharesOutstanding,CreationUnits
2026-02-23,ULTY,INTU  260227C00420000,INTU  260227C00420000,INTU US 02/27/26 C420,-360,5.3,-190800.0,-0.02,1035382053.72,29302464,1172.1
2026-02-23,ULTY,INTU  260227P00360000,INTU  260227P00360000,INTU US 02/27/26 P360,720,9.25,666000.0,0.06,1035382053.72,29302464,1172.1
2026-02-23,ULTY,INTU,461202103,Intuit Inc,36000,380.55,13699800.0,1.32,1035382053.72,29302464,1172.1
2026-02-23,ULTY,INTU  260227P00382500,INTU  260227P00382500,INTUIT P PUT OPT 02/26 382.500,-360,19.7,-709200.0,-0.07,1035382053.72,29302464,1172.1
2026-02-23,ULTY,IREN  260227C00043000,IREN  260227C00043000,IREN LIM CLL OPT 02/26 43,-9000,1.165,-1048500.0,-0.1,1035382053.72,29302464,1172.1
2026-02-23,ULTY,IREN  260227P00037000,IREN  260227P00037000,IREN LIM PUT OPT 02/26 37,9000,1.125,1012500.0,0.1,1035382053.72,29302464,1172.1
2026-02-23,ULTY,IREN,Q4982L109,IREN Ltd,900000,39.98,35982000.0,3.48,1035382053.72,29302464,1172.1
2026-02-23,ULTY,JBL   260320C00280000,JBL   260320C00280000,JABIL IN CLL OPT 03/26 280,-1900,11.6,-2204000.0,-0.21,1035382053.72,29302464,1172.1
2026-02-23,ULTY,JBL,466313103,Jabil Inc,190000,271.09,51507100.0,4.97,1035382053.72,29302464,1172.1
2026-02-23,ULTY,JBL   260320P00220000,JBL   260320P00220000,JBL US 03/20/26 P220,3800,1.65,627000.0,0.06,1035382053.72,29302464,1172.1
2026-02-23,ULTY,JBL   260320P00250000,JBL   260320P00250000,JBL US 03/20/26 P250,-1900,6.45,-1225500.0,-0.12,1035382053.72,29302464,1172.1
2026-02-23,ULTY,LRCX  260227C00257500,LRCX  260227C00257500,LAM RESE CLL OPT 02/26 257.500,-2310,2.685,-620235.0,-0.06,1035382053.72,29302464,1172.1
2026-02-23,ULTY,LRCX  260227P00222500,LRCX  260227P00222500,LAM RESE PUT OPT 02/26 222.500,4620,1.745,806190.0,0.08,1035382053.72,29302464,1172.1
2026-02-23,ULTY,LRCX  260227P00237500,LRCX  260227P00237500,LAM RESE PUT OPT 02/26 237.500,-2310,4.875,-1126125.0,-0.11,1035382053.72,29302464,1172.1
2026-02-23,ULTY,LRCX,512807306,Lam Research Corp,231000,244.92,56576520.0,5.46,1035382053.72,29302464,1172.1
2026-02-23,ULTY,LITE  260227C00720000,LITE  260227C00720000,LUMENTUM CLL OPT 02/26 720,-600,14.35,-861000.0,-0.08,1035382053.72,29302464,1172.1
2026-02-23,ULTY,LITE,55024U109,Lumentum Holdings Inc,60000,667.77,40066200.0,3.87,1035382053.72,29302464,1172.1
2026-02-23,ULTY,LITE  260227P00612500,LITE  260227P00612500,LUMENTUM PUT OPT 02/26 612.500,1200,12.65,1518000.0,0.15,1035382053.72,29302464,1172.1
2026-02-23,ULTY,LITE  260227P00652500,LITE  260227P00652500,LUMENTUM PUT OPT 02/26 652.500,-600,26.55,-1593000.0,-0.15,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MDB   260227C00370000,MDB   260227C00370000,MDB US 02/27/26 C370,-560,3.21,-179760.0,-0.02,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MDB   260227P00320000,MDB   260227P00320000,MDB US 02/27/26 P320,560,3.9,218400.0,0.02,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MDB   260227P00330000,MDB   260227P00330000,MONGODB  PUT OPT 02/26 330,560,6.275,351400.0,0.03,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MDB   260227P00350000,MDB   260227P00350000,MONGODB  PUT OPT 02/26 350,-560,15.0,-840000.0,-0.08,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MDB,60937P106,MongoDB Inc,56000,344.56,19295360.0,1.86,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MSTR  260227C00135000,MSTR  260227C00135000,MSTR US 02/27/26 C135,-920,3.6,-331200.0,-0.03,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MSTR  260227C00140000,MSTR  260227C00140000,MSTR US 02/27/26 C140,-2930,2.005,-587465.0,-0.06,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MSTR  260227P00117000,MSTR  260227P00117000,MSTR US 02/27/26 P117,920,1.465,134780.0,0.01,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MSTR  260227P00120000,MSTR  260227P00120000,MSTR US 02/27/26 P120,2930,1.955,572815.0,0.06,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SMR   260227C00014500,SMR   260227C00014500,NUSCALE  CLL OPT 02/26 14.500,-20418,0.655,-1337379.0,-0.13,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SMR   260227C00016500,SMR   260227C00016500,NUSCALE  CLL OPT 02/26 16.500,20418,0.21,428778.0,0.04,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SMR   260227P00013000,SMR   260227P00013000,NUSCALE  PUT OPT 02/26 13,40836,0.82,3348552.0,0.32,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SMR   260227P00013500,SMR   260227P00013500,NUSCALE  PUT OPT 02/26 13.500,-20418,1.06,-2164308.0,-0.21,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SMR,67079K100,NuScale Power Corp,2041800,13.44,27441792.0,2.65,1035382053.72,29302464,1172.1
2026-02-23,ULTY,NVDA  260227C00200000,NVDA  260227C00200000,NVDA US 02/27/26 C200,-3280,1.995,-654360.0,-0.06,1035382053.72,29302464,1172.1
2026-02-23,ULTY,NVDA  260227P00175000,NVDA  260227P00175000,NVIDIA C PUT OPT 02/26 175,6560,1.505,987280.0,0.1,1035382053.72,29302464,1172.1
2026-02-23,ULTY,NVDA  260227P00185000,NVDA  260227P00185000,NVIDIA C PUT OPT 02/26 185,-3280,3.95,-1295600.0,-0.13,1035382053.72,29302464,1172.1
2026-02-23,ULTY,NVDA,67066G104,NVIDIA Corp,328000,189.82,62260960.0,6.01,1035382053.72,29302464,1172.1
2026-02-23,ULTY,PLTR,69608A108,Palantir Technologies Inc,270000,135.24,36514800.0,3.53,1035382053.72,29302464,1172.1
2026-02-23,ULTY,PLTR  260227C00140000,PLTR  260227C00140000,PLTR US 02/27/26 C140,-2700,1.86,-502200.0,-0.05,1035382053.72,29302464,1172.1
2026-02-23,ULTY,PLTR  260227P00128000,PLTR  260227P00128000,PLTR US 02/27/26 P128,5400,1.46,788400.0,0.08,1035382053.72,29302464,1172.1
2026-02-23,ULTY,PLTR  260227P00136000,PLTR  260227P00136000,PLTR US 02/27/26 P136,-2700,4.15,-1120500.0,-0.11,1035382053.72,29302464,1172.1
2026-02-23,ULTY,PWR   260320P00480000,PWR   260320P00480000,PWR US 03/20/26 P480,1160,3.35,388600.0,0.04,1035382053.72,29302464,1172.1
2026-02-23,ULTY,PWR   260320P00530000,PWR   260320P00530000,PWR US 03/20/26 P530,-580,11.95,-693100.0,-0.07,1035382053.72,29302464,1172.1
2026-02-23,ULTY,PWR   260320C00580000,PWR   260320C00580000,QUANTA S CLL OPT 03/26 580,-580,10.75,-623500.0,-0.06,1035382053.72,29302464,1172.1
2026-02-23,ULTY,PWR,74762E102,Quanta Services Inc,58000,552.66,32054280.0,3.1,1035382053.72,29302464,1172.1
2026-02-23,ULTY,RBLX  260227C00066000,RBLX  260227C00066000,RBLX US 02/27/26 C66,-4500,0.765,-344250.0,-0.03,1035382053.72,29302464,1172.1
2026-02-23,ULTY,RBLX  260227P00060000,RBLX  260227P00060000,RBLX US 02/27/26 P60,9000,1.4,1260000.0,0.12,1035382053.72,29302464,1172.1
2026-02-23,ULTY,RBLX  260227P00063000,RBLX  260227P00063000,RBLX US 02/27/26 P63,-4500,2.745,-1235250.0,-0.12,1035382053.72,29302464,1172.1
2026-02-23,ULTY,RDDT  260227P00134000,RDDT  260227P00134000,RDDT US 02/27/26 P134,3700,0.88,325600.0,0.03,1035382053.72,29302464,1172.1
2026-02-23,ULTY,RDDT  260227P00142000,RDDT  260227P00142000,RDDT US 02/27/26 P142,-1850,2.265,-419025.0,-0.04,1035382053.72,29302464,1172.1
2026-02-23,ULTY,RDDT  260227C00157500,RDDT  260227C00157500,REDDIT I CLL OPT 02/26 157.500,-1850,2.6,-481000.0,-0.05,1035382053.72,29302464,1172.1
2026-02-23,ULTY,RDDT,75734B100,Reddit Inc,185000,150.17,27781450.0,2.68,1035382053.72,29302464,1172.1
2026-02-23,ULTY,HOOD  260227C00080000,HOOD  260227C00080000,ROBINHOO CLL OPT 02/26 80,-4498,1.105,-497029.0,-0.05,1035382053.72,29302464,1172.1
2026-02-23,ULTY,HOOD  260227P00069000,HOOD  260227P00069000,ROBINHOO PUT OPT 02/26 69,4498,0.595,267631.0,0.03,1035382053.72,29302464,1172.1
2026-02-23,ULTY,HOOD,770700102,Robinhood Markets Inc,449800,76.11,34234278.0,3.31,1035382053.72,29302464,1172.1
2026-02-23,ULTY,RBLX,771049103,ROBLOX Corp,450000,62.0,27900000.0,2.69,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SCCO  260227C00205000,SCCO  260227C00205000,SCCO US 02/27/26 C205,-1591,4.55,-723905.0,-0.07,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SCCO  260227P00177500,SCCO  260227P00177500,SCCO US 02/27/26 P177.5,3182,0.525,167055.02,0.02,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SCCO,84265V105,Southern Copper Corp,159141,201.01,31988992.71,3.09,1035382053.72,29302464,1172.1
2026-02-23,ULTY,SCCO  260227P00192500,SCCO  260227P00192500,SOUTHERN PUT OPT 02/26 192.500,-1591,3.075,-489232.5,-0.05,1035382053.72,29302464,1172.1
2026-02-23,ULTY,MSTR,594972408,Strategy Inc,385000,131.05,50454250.0,4.87,1035382053.72,29302464,1172.1
2026-02-23,ULTY,GDX   260227C00110000,GDX   260227C00110000,VANECK G CLL OPT 02/26 110,-5499,1.46,-802854.0,-0.08,1035382053.72,29302464,1172.1
2026-02-23,ULTY,GDX   260227P00102000,GDX   260227P00102000,VANECK G PUT OPT 02/26 102,-5499,1.38,-758862.0,-0.07,1035382053.72,29302464,1172.1
2026-02-23,ULTY,GDX   260227P00095500,GDX   260227P00095500,VANECK G PUT OPT 02/26 95.500,10998,0.47,516906.0,0.05,1035382053.72,29302464,1172.1
2026-02-23,ULTY,GDX,92189F106,VanEck Gold Miners ETF/USA,549900,106.26,58432374.0,5.64,1035382053.72,29302464,1172.1
