Ticker,Name,CUSIP,Weight,Market Value,Share Quantity,ETF Ticker,Date,Underlying_Ticker,Option_Strike,Option_Expiry,Option_Type,Underlying_Price,DTE,Moneyness
OTHER,RIOT US 02/27/26 P15.5,,-0.2,-33280.0,-512,REX_ULTI,2026-02-24,,,,,,,
OTHER,ONDS US 02/27/26 P10,,-0.22,-35685.0,-793,REX_ULTI,2026-02-24,,,,,,,
OTHER,CORZ US 02/27/26 C17,,-0.24,-39695.0,-467,REX_ULTI,2026-02-24,,,,,,,
OTHER,LITE US 02/27/26 P662.5,,-0.24,-39000.0,-13,REX_ULTI,2026-02-24,,,,,,,
OTHER,RIOT US 02/27/26 C15.5,,-0.24,-39936.0,-512,REX_ULTI,2026-02-24,,,,,,,
OTHER,WULF US 02/27/26 P15,,-0.26,-42502.0,-538,REX_ULTI,2026-02-24,,,,,,,
OTHER,LQDA US 02/27/26 C33.5,,-0.27,-44215.0,-239,REX_ULTI,2026-02-24,,,,,,,
OTHER,TTD US 02/27/26 C25,,-0.28,-46452.0,-316,REX_ULTI,2026-02-24,,,,,,,
OTHER,ONDS US 02/27/26 C10,,-0.29,-47580.0,-793,REX_ULTI,2026-02-24,,,,,,,
OTHER,RKLB US 02/27/26 P70,,-0.29,-47994.0,-114,REX_ULTI,2026-02-24,,,,,,,
OTHER,RUN US 02/27/26 C20,,-0.29,-47916.0,-396,REX_ULTI,2026-02-24,,,,,,,
OTHER,RKLB US 02/27/26 C70,,-0.3,-50160.0,-114,REX_ULTI,2026-02-24,,,,,,,
OTHER,CORZ US 02/27/26 P17,,-0.31,-51370.0,-467,REX_ULTI,2026-02-24,,,,,,,
OTHER,NBIS US 02/27/26 C98,,-0.31,-50840.0,-82,REX_ULTI,2026-02-24,,,,,,,
OTHER,RUN US 02/27/26 P20,,-0.32,-53064.0,-396,REX_ULTI,2026-02-24,,,,,,,
OTHER,BMNR US 02/27/26 P20,,-0.33,-53865.0,-399,REX_ULTI,2026-02-24,,,,,,,
OTHER,LITE US 02/27/26 C662.5,,-0.38,-62400.0,-13,REX_ULTI,2026-02-24,,,,,,,
OTHER,SNDK US 02/27/26 C640,,-0.38,-62101.0,-13,REX_ULTI,2026-02-24,,,,,,,
OTHER,LUNR US 02/27/26 C17.5,,-0.39,-64437.0,-457,REX_ULTI,2026-02-24,,,,,,,
OTHER,APLD US 02/27/26 C28.5,,-0.4,-65565.0,-279,REX_ULTI,2026-02-24,,,,,,,
OTHER,ASTS US 02/27/26 C80,,-0.4,-65800.0,-100,REX_ULTI,2026-02-24,,,,,,,
OTHER,LQDA US 02/27/26 P33.5,,-0.41,-68115.0,-239,REX_ULTI,2026-02-24,,,,,,,
OTHER,TTD US 02/27/26 P25,,-0.43,-71732.0,-316,REX_ULTI,2026-02-24,,,,,,,
OTHER,RCAT US 02/27/26 C12,,-0.48,-78720.0,-640,REX_ULTI,2026-02-24,,,,,,,
OTHER,WULF US 02/27/26 C15,,-0.48,-79086.0,-538,REX_ULTI,2026-02-24,,,,,,,
OTHER,BE US 02/27/26 C147,,-0.58,-96635.0,-55,REX_ULTI,2026-02-24,,,,,,,
