Date,Account,Ticker,CUSIP,Name,Share Quantity,Price,Market Value,Weight,NetAssets,SharesOutstanding,CreationUnits,ETF Ticker
2026-02-07,BLOX,COIN  260213P00170000,COIN  260213P00170000,COIN US 02/13/26 P170,418,27.325,1142185.0,0.56,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,HOOD  260213P00080000,HOOD  260213P00080000,HOOD US 02/13/26 P80,1170,9.725,1137825.0,0.56,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,CIFR  260213P00013000,CIFR  260213P00013000,CIFR US 02/13/26 P13,9031,1.245,1124359.5,0.55,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,CIFR  260206P00015000,CIFR  260206P00015000,CIFR US 02/06/26 P15,4153,2.5,1038250.0,0.51,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,HOOD  260213P00088000,HOOD  260213P00088000,HOOD US 02/13/26 P88,616,16.475,1014860.0,0.5,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,CIFR  260213P00012500,CIFR  260213P00012500,CIPHER M PUT OPT 02/26 12.500,8924,0.965,861166.0,0.42,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,GLXY  260213P00021000,GLXY  260213P00021000,GLXY US 02/13/26 P21,2000,4.05,810000.0,0.4,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,HOOD  260213P00086000,HOOD  260213P00086000,HOOD US 02/13/26 P86,554,14.675,812995.0,0.4,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,BULL  260206P00007000,BULL  260206P00007000,BULL US 02/06/26 P7,6285,1.285,807622.5,0.4,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,CRWV  260206P00107000,CRWV  260206P00107000,CRWV US 02/06/26 P107,219,32.525,712297.5,0.35,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,BMNR  260213P00020500,BMNR  260213P00020500,BMNR US 02/13/26 P20.5,1695,4.1,694950.0,0.34,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,GLXY  260213P00020500,GLXY  260213P00020500,GLXY US 02/13/26 P20.5,1855,3.685,683567.5,0.34,203480675.0,14750000,590.0,BLOX
